"date","owid_new_deaths"
2020-01-11,1
2020-01-15,1
2020-01-19,1
2020-01-21,3
2020-01-22,11
2020-01-24,9
2020-01-25,15
2020-01-26,15
2020-01-27,25
2020-01-28,25
2020-01-29,26
2020-01-30,38
2020-01-31,43
2020-02-01,46
2020-02-02,45
2020-02-03,57
2020-02-04,65
2020-02-05,66
2020-02-06,72
2020-02-07,73
2020-02-08,86
2020-02-09,89
2020-02-10,97
2020-02-11,108
2020-02-12,97
2020-02-13,254
2020-02-14,13
2020-02-15,143
2020-02-16,142
2020-02-17,105
2020-02-18,98
2020-02-19,139
2020-02-20,112
2020-02-21,118
2020-02-22,109
2020-02-23,98
2020-02-24,150
2020-02-25,70
2020-02-26,52
2020-02-27,29
2020-02-28,44
2020-02-29,47
2020-03-01,35
2020-03-02,42
2020-03-03,32
2020-03-04,37
2020-03-05,31
2020-03-06,30
2020-03-07,28
2020-03-08,27
2020-03-09,23
2020-03-10,17
2020-03-11,22
2020-03-12,11
2020-03-13,7
2020-03-14,15
2020-03-15,9
2020-03-16,13
2020-03-17,9
2020-03-18,16
2020-03-19,8
2020-03-20,4
2020-03-21,6
2020-03-22,6
2020-03-23,9
2020-03-24,7
2020-03-25,4
2020-03-26,6
2020-03-27,5
2020-03-28,3
2020-03-29,5
2020-03-30,2
2020-03-31,3
2020-04-01,1
2020-04-02,6
2020-04-03,10
2020-04-04,4
2020-04-05,3
2020-04-06,2
2020-04-08,2
2020-04-09,2
2020-04-10,1
2020-04-11,3
2020-04-13,2
2020-04-15,1
2020-04-17,1290
2020-04-27,1
2020-05-17,1
2020-06-21,1
2020-06-24,1
2020-06-26,1
2020-07-14,1
2020-07-16,2
2020-07-18,1
2020-07-19,1
2020-07-22,2
2020-07-24,1
2020-07-25,1
2020-07-26,2
2020-07-28,4
2020-07-29,1
2020-07-30,2
2020-08-01,2
2020-08-02,6
2020-08-03,2
2020-08-04,3
2020-08-05,4
2020-08-06,1
2020-08-07,3
2020-08-08,1
2020-08-10,5
2020-08-11,4
