"date","owid_new_deaths"
2020-02-13,1
2020-02-27,2
2020-03-01,2
2020-03-02,1
2020-03-09,1
2020-03-10,2
2020-03-11,3
2020-03-12,3
2020-03-13,4
2020-03-14,2
2020-03-15,1
2020-03-16,2
2020-03-17,4
2020-03-19,1
2020-03-20,4
2020-03-21,2
2020-03-22,1
2020-03-23,5
2020-03-24,1
2020-03-25,1
2020-03-26,2
2020-03-27,1
2020-03-28,3
2020-03-29,3
2020-03-30,2
2020-03-31,2
2020-04-02,1
2020-04-03,6
2020-04-04,6
2020-04-05,1
2020-04-06,3
2020-04-07,7
2020-04-08,1
2020-04-09,4
2020-04-10,3
2020-04-11,6
2020-04-12,4
2020-04-13,4
2020-04-14,7
2020-04-15,10
2020-04-16,17
2020-04-17,12
2020-04-18,6
2020-04-19,7
2020-04-20,10
2020-04-21,15
2020-04-23,101
2020-04-24,30
2020-04-25,17
2020-04-26,14
2020-04-27,3
2020-04-28,25
2020-04-29,13
2020-04-30,26
2020-05-01,17
2020-05-02,26
2020-05-03,34
2020-05-04,18
2020-05-05,11
2020-05-06,22
2020-05-07,8
2020-05-08,6
2020-05-09,44
2020-05-10,12
2020-05-11,8
2020-05-12,22
2020-05-13,25
2020-05-14,19
2020-05-15,23
2020-05-16,15
2020-05-17,19
2020-05-18,5
2020-05-19,14
2020-05-20,8
2020-05-21,6
2020-05-22,19
2020-05-23,12
2020-05-24,12
2020-05-25,10
2020-05-26,16
2020-05-27,12
2020-05-29,16
2020-05-30,12
2020-05-31,5
2020-06-01,1
2020-06-02,2
2020-06-03,6
2020-06-04,3
2020-06-05,4
2020-06-06,7
2020-06-07,2
2020-06-10,3
2020-06-11,1
2020-06-12,2
2020-06-13,2
2020-06-14,1
2020-06-16,2
2020-06-17,4
2020-06-18,4
2020-06-20,17
2020-06-22,1
2020-06-23,2
2020-06-24,8
2020-06-25,5
2020-06-26,1
2020-06-27,2
2020-06-29,1
2020-07-01,2
2020-07-02,1
2020-07-03,1
2020-07-04,1
2020-07-07,1
2020-07-08,2
2020-07-09,1
2020-07-10,1
2020-07-15,2
2020-07-16,1
2020-07-21,3
2020-07-22,1
2020-07-23,1
2020-07-24,2
2020-07-25,1
2020-07-26,3
2020-07-29,4
2020-07-30,3
2020-07-31,2
2020-08-01,1
2020-08-02,4
2020-08-03,1
2020-08-04,5
2020-08-05,6
2020-08-06,4
2020-08-07,7
2020-08-08,6
2020-08-09,1
2020-08-10,7
2020-08-11,4
2020-08-12,7
2020-08-13,4
2020-08-14,10
2020-08-15,13
2020-08-16,3
2020-08-17,10
2020-08-18,16
2020-08-19,14
2020-08-20,16
2020-08-21,11
2020-08-22,14
2020-08-23,7
2020-08-24,4
2020-08-25,16
2020-08-26,13
2020-08-27,17
2020-08-28,12
2020-08-29,17
2020-08-30,9
2020-08-31,15
2020-09-01,17
2020-09-02,11
2020-09-03,12
2020-09-04,11
2020-09-05,19
2020-09-06,8
2020-09-07,6
2020-09-08,14
2020-09-09,16
2020-09-10,13
2020-09-11,6
2020-09-12,11
2020-09-13,16
2020-09-14,3
2020-09-15,9
