"date","owid_new_deaths"
2020-03-30,3
2020-03-31,3
2020-04-01,1
2020-04-02,1
2020-04-03,1
2020-04-04,1
2020-04-06,1
2020-04-07,3
2020-04-08,1
2020-04-09,3
2020-04-10,1
2020-04-11,1
2020-04-12,4
2020-04-13,3
2020-04-14,1
2020-04-16,1
2020-04-17,2
2020-04-19,1
2020-04-20,1
2020-04-21,1
2020-04-22,3
2020-04-23,3
2020-04-24,3
2020-04-25,1
2020-04-26,2
2020-04-27,4
2020-04-28,3
2020-04-29,2
2020-04-30,4
2020-05-01,3
2020-05-02,4
2020-05-03,5
2020-05-04,5
2020-05-05,6
2020-05-06,4
2020-05-07,5
2020-05-08,11
2020-05-09,4
2020-05-10,8
2020-05-11,4
2020-05-12,4
2020-05-13,6
2020-05-14,14
2020-05-15,10
2020-05-16,12
2020-05-17,1
2020-05-18,4
2020-05-19,5
2020-05-20,15
2020-05-21,10
2020-05-22,16
2020-05-23,15
2020-05-24,10
2020-05-25,10
2020-05-26,11
2020-05-27,13
2020-05-28,6
2020-05-29,13
2020-05-30,7
2020-05-31,10
2020-06-01,3
2020-06-02,30
2020-06-03,33
2020-06-04,24
2020-06-05,15
2020-06-06,12
2020-06-07,27
2020-06-08,11
2020-06-09,10
2020-06-10,12
2020-06-11,25
2020-06-12,21
2020-06-13,26
2020-06-14,26
2020-06-15,26
2020-06-16,21
2020-06-17,27
2020-06-18,20
2020-06-19,18
2020-06-20,18
2020-06-21,25
2020-06-22,33
2020-06-23,47
2020-06-24,26
2020-06-25,30
2020-06-26,37
2020-06-27,21
2020-06-28,36
2020-06-29,44
2020-06-30,57
2020-07-01,52
2020-07-02,78
2020-07-03,70
2020-07-04,49
2020-07-05,58
2020-07-06,56
2020-07-07,42
2020-07-08,54
2020-07-09,47
2020-07-10,61
2020-07-11,64
2020-07-12,52
2020-07-13,53
2020-07-14,59
2020-07-15,32
2020-07-16,44
2020-07-17,42
2020-07-18,65
2020-07-19,57
2020-07-20,45
2020-07-21,67
2020-07-22,55
2020-07-23,55
2020-07-24,79
2020-07-25,66
2020-07-26,62
2020-07-27,48
2020-07-28,64
2020-07-29,73
2020-07-30,88
2020-07-31,86
2020-08-01,83
2020-08-02,87
2020-08-03,89
2020-08-04,75
2020-08-05,92
2020-08-06,65
2020-08-07,80
2020-08-08,59
2020-08-09,63
2020-08-10,53
2020-08-11,72
2020-08-12,49
2020-08-13,66
2020-08-15,57
2020-08-16,119
2020-08-17,45
2020-08-18,75
2020-08-19,49
2020-08-20,61
2020-08-21,72
2020-08-22,61
2020-08-23,76
2020-08-24,67
2020-08-25,69
2020-08-26,86
2020-08-27,62
2020-08-28,65
2020-08-29,55
2020-08-30,92
2020-08-31,28
2020-09-01,61
2020-09-02,74
2020-09-03,102
2020-09-06,55
2020-09-08,46
2020-09-09,43
2020-09-10,49
2020-09-11,47
2020-09-12,57
2020-09-13,47
2020-09-14,47
2020-09-15,50
2020-09-16,53
2020-09-17,31
2020-09-18,33
