"date","owid_new_deaths"
2020-03-18,1
2020-03-19,3
2020-03-20,2
2020-03-21,5
2020-03-22,7
2020-03-23,7
2020-03-24,9
2020-03-25,12
2020-03-26,11
2020-03-27,20
2020-03-28,15
2020-03-29,22
2020-03-30,22
2020-03-31,23
2020-04-01,42
2020-04-02,40
2020-04-03,58
2020-04-04,60
2020-04-05,73
2020-04-06,54
2020-04-07,67
2020-04-08,114
2020-04-09,133
2020-04-10,141
2020-04-11,115
2020-04-12,68
2020-04-13,99
2020-04-14,105
2020-04-15,204
2020-04-16,204
2020-04-17,188
2020-04-18,217
2020-04-19,206
2020-04-20,115
2020-04-21,113
2020-04-22,166
2020-04-23,165
2020-04-24,407
2020-04-25,357
2020-04-26,346
2020-04-27,189
2020-04-28,338
2020-04-29,474
2020-04-30,449
2020-05-01,435
2020-05-02,428
2020-05-03,421
2020-05-04,275
2020-05-05,296
2020-05-06,600
2020-05-07,615
2020-05-08,610
2020-05-09,751
2020-05-10,730
2020-05-11,496
2020-05-12,396
2020-05-13,881
2020-05-14,749
2020-05-15,844
2020-05-16,824
2020-05-17,816
2020-05-18,485
2020-05-19,674
2020-05-20,1179
2020-05-21,888
2020-05-22,1188
2020-05-23,1001
2020-05-24,965
2020-05-25,653
2020-05-26,807
2020-05-27,1039
2020-05-28,1086
2020-05-29,1156
2020-05-30,1124
2020-05-31,956
2020-06-01,480
2020-06-02,623
2020-06-03,1262
2020-06-04,1349
2020-06-05,1473
2020-06-06,1005
2020-06-07,904
2020-06-08,525
2020-06-09,679
2020-06-10,1272
2020-06-11,1274
2020-06-12,1239
2020-06-13,909
2020-06-14,892
2020-06-15,612
2020-06-16,627
2020-06-17,1282
2020-06-18,1269
2020-06-19,1238
2020-06-20,1206
2020-06-21,1022
2020-06-22,641
2020-06-23,654
2020-06-24,1374
2020-06-25,1185
2020-06-26,1141
2020-06-27,990
2020-06-28,1109
2020-06-29,552
2020-06-30,692
2020-07-01,1280
2020-07-02,1038
2020-07-03,1252
2020-07-04,1290
2020-07-05,1091
2020-07-06,602
2020-07-07,620
2020-07-08,1254
2020-07-09,1223
2020-07-10,1220
2020-07-11,1214
2020-07-12,1071
2020-07-13,631
2020-07-14,733
2020-07-15,1300
2020-07-16,1233
2020-07-17,1322
2020-07-18,1163
2020-07-19,921
2020-07-20,716
2020-07-21,632
2020-07-22,1367
2020-07-23,1284
2020-07-24,1311
2020-07-25,1156
2020-07-26,1211
2020-07-27,555
2020-07-28,614
2020-07-29,921
2020-07-30,1595
2020-07-31,1129
2020-08-01,1212
2020-08-02,1088
2020-08-03,541
2020-08-04,561
2020-08-05,1154
2020-08-06,1437
2020-08-07,1237
2020-08-08,1079
2020-08-09,905
2020-08-10,572
2020-08-11,703
2020-08-12,1274
2020-08-13,1175
2020-08-14,1262
2020-08-15,1060
2020-08-16,709
2020-08-17,620
2020-08-18,684
2020-08-19,1352
2020-08-20,1212
2020-08-21,1204
2020-08-22,1054
2020-08-23,892
2020-08-24,494
2020-08-25,565
2020-08-26,1271
2020-08-27,1085
2020-08-28,984
2020-08-29,855
2020-08-30,958
2020-08-31,366
2020-09-01,553
2020-09-02,1215
2020-09-03,1184
2020-09-04,834
2020-09-05,907
2020-09-06,682
2020-09-07,447
2020-09-08,310
2020-09-09,504
2020-09-10,1075
2020-09-11,983
2020-09-12,874
2020-09-13,814
2020-09-14,415
