"date","owid_new_deaths"
2020-01-11,1
2020-01-15,1
2020-01-19,1
2020-01-21,3
2020-03-13,7
2020-03-20,4
2020-03-21,6
2020-03-22,6
2020-03-24,7
2020-03-25,4
2020-03-26,6
2020-03-27,5
2020-03-28,3
2020-03-29,5
2020-03-30,2
2020-03-31,3
2020-04-01,1
2020-04-02,6
2020-04-04,4
2020-04-05,3
2020-04-06,2
2020-04-08,2
2020-04-09,2
2020-04-10,1
2020-04-11,3
2020-04-13,2
2020-04-15,1
2020-04-27,1
2020-05-17,1
2020-06-21,1
2020-06-24,1
2020-06-26,1
2020-07-14,1
2020-07-16,2
2020-07-18,1
2020-07-19,1
2020-07-22,2
2020-07-24,1
2020-07-25,1
2020-07-26,2
2020-07-28,4
2020-07-29,1
2020-07-30,2
2020-08-01,2
2020-08-02,6
2020-08-03,2
2020-08-04,3
2020-08-05,4
2020-08-06,1
2020-08-07,3
2020-08-08,1
2020-08-10,5
2020-08-11,4
2020-08-12,3
2020-08-13,4
2020-08-14,3
2020-08-15,1
2020-08-16,2
2020-08-19,2
2020-08-20,1
2020-08-21,3
2020-08-22,2
2020-08-26,1
2020-08-27,1
