"date","owid_new_deaths"
2020-02-15,1
2020-02-27,1
2020-03-03,1
2020-03-04,1
2020-03-06,3
2020-03-07,2
2020-03-08,1
2020-03-09,9
2020-03-10,11
2020-03-11,3
2020-03-12,15
2020-03-13,13
2020-03-14,18
2020-03-15,12
2020-03-16,36
2020-03-17,21
2020-03-18,27
2020-03-19,69
2020-03-20,128
2020-03-21,78
2020-03-22,112
2020-03-23,112
2020-03-24,186
2020-03-25,240
2020-03-26,231
2020-04-27,242
2020-05-02,218
2020-05-03,166
2020-05-04,135
2020-05-08,178
2020-05-09,243
2020-05-10,80
2020-05-11,70
2020-05-14,83
2020-05-16,130
2020-05-17,88
2020-05-18,68
2020-05-19,186
2020-05-20,125
2020-05-21,110
2020-05-22,83
2020-05-23,74
2020-05-24,43
2020-05-25,35
2020-05-26,65
2020-05-27,98
2020-05-28,66
2020-05-29,66
2020-05-30,52
2020-05-31,57
2020-06-01,31
2020-06-02,31
2020-06-03,107
2020-06-04,81
2020-06-05,44
2020-06-06,46
2020-06-07,31
2020-06-08,13
2020-06-09,54
2020-06-10,87
2020-06-11,23
2020-06-12,27
2020-06-13,28
2020-06-14,24
2020-06-15,9
2020-06-16,29
2020-06-17,111
2020-06-18,28
2020-06-19,28
2020-06-20,14
2020-06-21,16
2020-06-22,7
2020-06-23,23
2020-06-24,57
2020-06-25,11
2020-06-26,21
2020-06-27,26
2020-06-30,35
2020-07-01,30
2020-07-02,18
2020-07-03,14
2020-07-04,18
2020-07-07,27
2020-07-08,13
2020-07-09,32
2020-07-10,14
2020-07-11,25
2020-07-14,25
2020-07-16,91
2020-07-17,18
2020-07-18,14
2020-07-21,13
2020-07-23,7
2020-07-24,10
2020-07-25,10
2020-07-28,17
2020-07-29,14
2020-07-30,15
2020-07-31,16
2020-08-01,11
2020-08-04,29
2020-08-05,2
2020-08-06,9
2020-08-07,7
2020-08-08,12
2020-08-11,16
2020-08-12,14
2020-08-13,17
2020-08-14,17
2020-08-15,18
2020-08-16,3
2020-08-17,1
2020-08-18,19
2020-08-19,22
2020-08-20,17
2020-08-21,12
2020-08-22,23
2020-08-23,9
2020-08-24,1
2020-08-25,15
2020-08-26,16
2020-08-28,32
2020-08-29,20
2020-08-30,6
2020-08-31,4
2020-09-01,29
2020-09-02,26
2020-09-03,25
2020-09-06,12
2020-09-07,3
2020-09-08,25
2020-09-09,38
2020-09-10,30
2020-09-11,19
2020-09-12,80
2020-09-13,17
2020-09-14,6
2020-09-15,34
2020-09-16,49
2020-09-17,46
2020-09-18,50
2020-09-19,154
2020-09-20,25
2020-09-21,11
