"date","owid_new_deaths"
2020-02-20,2
2020-02-22,2
2020-02-23,1
2020-02-24,3
2020-02-25,4
2020-02-26,3
2020-02-27,4
2020-02-28,7
2020-02-29,8
2020-03-01,9
2020-03-02,11
2020-03-03,12
2020-03-04,11
2020-03-05,15
2020-03-06,15
2020-03-07,17
2020-03-08,21
2020-03-09,49
2020-03-10,43
2020-03-11,54
2020-03-12,63
2020-03-13,75
2020-03-14,85
2020-03-15,97
2020-03-16,113
2020-03-17,129
2020-03-18,135
2020-03-19,147
2020-03-20,149
2020-03-21,149
2020-03-22,123
2020-03-23,129
2020-03-24,127
2020-03-25,122
2020-03-26,143
2020-03-27,157
2020-03-28,144
2020-03-29,139
2020-03-30,123
2020-03-31,117
2020-04-01,141
2020-04-02,138
2020-04-03,124
2020-04-05,292
2020-04-06,151
2020-04-07,136
2020-04-08,133
2020-04-09,121
2020-04-10,117
2020-04-11,122
2020-04-12,125
2020-04-13,117
2020-04-14,111
2020-04-15,98
2020-04-16,94
2020-04-17,92
2020-04-18,89
2020-04-19,73
2020-04-20,87
2020-04-21,91
2020-04-22,88
2020-04-23,94
2020-04-24,90
2020-04-25,93
2020-04-26,76
2020-04-27,60
2020-04-28,96
2020-04-29,71
2020-04-30,80
2020-05-01,71
2020-05-02,63
2020-05-03,65
2020-05-04,47
2020-05-05,74
2020-05-06,63
2020-05-07,78
2020-05-08,68
2020-05-09,55
2020-05-10,48
2020-05-11,51
2020-05-12,45
2020-05-13,48
2020-05-14,50
2020-05-15,71
2020-05-16,48
2020-05-17,35
2020-05-18,51
2020-05-19,69
2020-05-20,62
2020-05-21,64
2020-05-22,66
2020-05-23,51
2020-05-24,59
2020-05-25,58
2020-05-26,34
2020-05-27,57
2020-05-28,56
2020-05-29,63
2020-05-30,50
2020-05-31,57
2020-06-01,63
2020-06-02,81
2020-06-03,64
2020-06-04,70
2020-06-05,59
2020-06-06,63
2020-06-07,75
2020-06-08,72
2020-06-09,70
2020-06-10,74
2020-06-11,81
2020-06-12,78
2020-06-13,75
2020-06-14,71
2020-06-15,107
2020-06-16,113
2020-06-17,115
2020-06-18,120
2020-06-19,87
2020-06-20,120
2020-06-21,115
2020-06-22,116
2020-06-23,119
2020-06-24,121
2020-06-25,133
2020-06-26,134
2020-06-28,234
2020-06-29,144
2020-06-30,162
2020-07-01,147
2020-07-02,141
2020-07-03,148
2020-07-04,154
2020-07-05,148
2020-07-06,163
2020-07-07,160
2020-07-08,200
2020-07-09,153
2020-07-10,221
2020-07-11,142
2020-07-12,188
2020-07-13,194
2020-07-14,203
2020-07-15,179
2020-07-16,199
2020-07-17,198
2020-07-18,183
2020-07-19,188
2020-07-20,209
2020-07-21,217
2020-07-22,229
2020-07-23,219
2020-07-24,221
2020-07-25,215
2020-07-26,195
2020-07-27,216
2020-07-28,212
2020-07-29,235
2020-07-30,196
2020-07-31,226
2020-08-01,197
2020-08-02,216
2020-08-03,208
2020-08-04,215
2020-08-05,212
2020-08-06,185
2020-08-07,14
2020-08-08,316
2020-08-09,132
2020-08-10,163
2020-08-11,189
2020-08-12,184
2020-08-13,188
2020-08-14,174
2020-08-15,169
2020-08-16,161
2020-08-17,147
2020-08-18,165
2020-08-19,168
2020-08-21,292
2020-08-22,112
2020-08-23,126
2020-08-24,141
2020-08-26,133
2020-08-27,125
2020-08-28,236
2020-08-29,112
2020-08-30,110
2020-08-31,103
2020-09-01,109
2020-09-02,101
2020-09-03,125
2020-09-04,129
2020-09-05,118
2020-09-06,110
2020-09-07,139
2020-09-08,117
