"date","owid_new_deaths"
2020-02-23,2
2020-02-25,4
2020-02-26,5
2020-02-27,1
2020-02-28,5
2020-02-29,4
2020-03-01,8
2020-03-02,6
2020-03-03,17
2020-03-04,28
2020-03-05,27
2020-03-06,41
2020-03-07,49
2020-03-08,36
2020-03-09,133
2020-03-10,98
2020-03-11,167
2020-03-12,196
2020-03-13,189
2020-03-14,252
2020-03-15,173
2020-03-17,347
2020-03-18,347
2020-04-27,260
2020-04-28,333
2020-04-30,323
2020-05-01,285
2020-05-02,269
2020-05-04,174
2020-05-05,195
2020-05-06,236
2020-05-08,274
2020-05-09,243
2020-05-10,194
2020-05-11,165
2020-05-12,179
2020-05-13,172
2020-05-14,195
2020-05-15,262
2020-05-16,242
2020-05-17,153
2020-05-18,145
2020-05-19,99
2020-05-20,162
2020-05-21,161
2020-05-22,156
2020-05-23,130
2020-05-24,119
2020-05-25,50
2020-05-26,92
2020-05-27,78
2020-05-28,117
2020-05-29,70
2020-05-30,87
2020-05-31,111
2020-06-01,75
2020-06-02,60
2020-06-03,55
2020-06-04,71
2020-06-05,88
2020-06-06,85
2020-06-07,72
2020-06-08,53
2020-06-09,65
2020-06-10,79
2020-06-11,71
2020-06-12,53
2020-06-13,56
2020-06-14,78
2020-06-15,44
2020-06-16,26
2020-06-17,34
2020-06-18,43
2020-06-19,66
2020-06-20,47
2020-06-21,49
2020-06-22,24
2020-06-23,23
2020-06-24,18
2020-06-25,31
2020-06-26,34
2020-06-27,30
2020-06-28,8
2020-06-29,22
2020-06-30,6
2020-07-01,23
2020-07-02,21
2020-07-03,30
2020-07-04,15
2020-07-05,21
2020-07-06,7
2020-07-07,8
2020-07-08,30
2020-07-09,15
2020-07-10,12
2020-07-11,12
2020-07-12,7
2020-07-13,9
2020-07-14,13
2020-07-15,17
2020-07-16,13
2020-07-17,20
2020-07-18,11
2020-07-19,14
2020-07-20,3
2020-07-21,13
2020-07-22,15
2020-07-23,9
2020-07-24,10
2020-07-25,5
2020-07-26,5
2020-07-27,5
2020-07-28,5
2020-07-29,11
2020-07-30,6
2020-07-31,3
2020-08-01,9
2020-08-02,5
2020-08-03,8
2020-08-04,12
2020-08-05,5
2020-08-06,10
2020-08-07,6
2020-08-08,3
2020-08-09,13
2020-08-10,2
2020-08-11,4
2020-08-12,6
2020-08-13,10
2020-08-14,6
2020-08-15,3
2020-08-16,158
2020-08-17,4
2020-08-18,4
2020-08-19,5
2020-08-20,7
2020-08-21,6
2020-08-22,9
2020-08-23,3
2020-08-24,7
2020-08-25,4
2020-08-26,4
2020-08-27,13
2020-08-28,5
2020-08-29,9
2020-08-30,1
2020-08-31,4
2020-09-01,6
2020-09-02,8
2020-09-03,6
2020-09-04,10
2020-09-05,11
2020-09-06,16
2020-09-07,7
2020-09-08,12
2020-09-09,10
2020-09-10,14
2020-09-11,10
2020-09-12,10
2020-09-13,6
2020-09-14,7
2020-09-15,14
2020-09-16,9
2020-09-17,12
2020-09-18,13
