"date","owid_new_deaths"
2020-03-20,2
2020-03-21,1
2020-03-22,2
2020-03-25,2
2020-03-26,1
2020-03-27,1
2020-03-28,2
2020-03-29,5
2020-03-30,2
2020-03-31,6
2020-04-01,6
2020-04-02,17
2020-04-03,8
2020-04-04,6
2020-04-05,12
2020-04-06,10
2020-04-07,9
2020-04-08,15
2020-04-09,14
2020-04-10,17
2020-04-11,31
2020-04-12,12
2020-04-13,12
2020-04-15,37
2020-04-16,24
2020-04-17,20
2020-04-18,26
2020-04-19,48
2020-04-20,52
2020-04-21,45
2020-04-22,39
2020-04-23,46
2020-04-24,42
2020-04-25,62
2020-04-26,66
2020-04-27,28
2020-04-28,54
2020-04-29,72
2020-04-30,89
2020-05-01,108
2020-05-02,73
2020-05-03,76
2020-05-04,86
2020-05-05,58
2020-05-06,100
2020-05-07,89
2020-05-08,94
2020-05-09,87
2020-05-10,100
2020-05-11,75
2020-05-12,72
2020-05-13,96
2020-05-14,112
2020-05-15,98
2020-05-16,126
2020-05-17,130
2020-05-18,125
2020-05-19,141
2020-05-20,125
2020-05-21,110
2020-05-22,124
2020-05-23,96
2020-05-24,129
2020-05-25,83
2020-05-26,173
2020-05-27,159
2020-05-28,195
2020-05-29,116
2020-05-30,131
2020-05-31,141
2020-06-01,135
2020-06-02,128
2020-06-04,260
2020-06-05,137
2020-06-06,131
2020-06-07,139
2020-06-08,164
2020-06-09,106
2020-06-10,167
2020-06-11,165
2020-06-12,206
2020-06-13,199
2020-06-14,190
2020-06-15,190
2020-06-16,172
2020-06-17,196
2020-06-18,201
2020-06-19,204
2020-06-20,199
2020-06-21,201
2020-06-22,184
2020-06-24,359
2020-06-25,182
2020-06-26,175
2020-06-27,178
2020-06-28,196
2020-06-29,182
2020-06-30,187
2020-07-01,173
2020-07-02,183
2020-07-03,185
2020-07-04,181
2020-07-05,186
2020-07-06,177
2020-07-07,183
2020-07-08,180
2020-07-09,181
2020-07-10,181
2020-07-11,186
2020-07-12,182
2020-07-13,188
2020-07-14,184
2020-07-15,175
2020-07-16,188
2020-07-17,198
2020-07-18,184
2020-07-19,199
2020-07-20,189
2020-07-21,197
2020-07-22,195
2020-07-23,188
2020-07-25,189
2020-07-26,187
2020-07-27,199
2020-07-28,189
2020-07-29,194
2020-07-30,204
2020-07-31,205
2020-08-01,196
2020-08-02,191
2020-08-03,206
2020-08-04,197
2020-08-05,196
2020-08-06,221
2020-08-07,196
2020-08-08,225
2020-08-09,195
2020-08-10,228
2020-08-11,204
2020-08-12,225
2020-08-13,212
2020-08-15,208
2020-08-16,219
2020-08-17,206
2020-08-18,200
2020-08-19,177
2020-08-20,176
2020-08-21,200
2020-08-22,211
2020-08-23,208
2020-08-24,210
2020-08-25,150
2020-08-26,188
2020-08-27,123
2020-08-28,153
2020-08-29,194
2020-08-30,136
2020-08-31,181
2020-09-01,156
2020-09-02,124
2020-09-03,191
2020-09-04,146
2020-09-05,149
2020-09-06,133
2020-09-07,151
2020-09-08,138
2020-09-09,147
2020-09-10,113
2020-09-11,108
2020-09-12,126
2020-09-13,123
2020-09-14,117
2020-09-15,102
