"date","owid_new_deaths"
2020-03-27,2
2020-03-28,2
2020-03-29,1
2020-03-30,3
2020-03-31,2
2020-04-01,7
2020-04-02,7
2020-04-03,6
2020-04-04,4
2020-04-05,9
2020-04-06,2
2020-04-07,2
2020-04-08,11
2020-04-09,5
2020-04-10,13
2020-04-11,18
2020-04-12,12
2020-04-13,24
2020-04-14,18
2020-04-15,22
2020-04-16,28
2020-04-17,34
2020-04-18,41
2020-04-19,40
2020-04-20,48
2020-04-21,44
2020-04-22,51
2020-04-23,57
2020-04-24,42
2020-04-25,60
2020-04-26,66
2020-04-27,66
2020-04-28,48
2020-04-29,72
2020-04-30,105
2020-05-01,101
2020-05-02,96
2020-05-03,53
2020-05-04,58
2020-05-05,76
2020-05-06,95
2020-05-07,86
2020-05-08,88
2020-05-09,98
2020-05-10,104
2020-05-11,88
2020-05-12,94
2020-05-13,107
2020-05-14,96
2020-05-15,93
2020-05-16,113
2020-05-17,119
2020-05-18,94
2020-05-19,91
2020-05-20,115
2020-05-21,135
2020-05-22,127
2020-05-23,150
2020-05-24,139
2020-05-25,153
2020-05-26,92
2020-05-27,174
2020-05-28,161
2020-05-29,174
2020-05-30,232
2020-05-31,181
2020-06-01,138
2020-06-02,162
2020-06-03,182
2020-06-04,178
2020-06-05,169
2020-06-06,144
2020-06-07,197
2020-06-08,134
2020-06-09,112
2020-06-10,170
2020-06-11,217
2020-06-12,174
2020-06-13,183
2020-06-14,114
2020-06-15,119
2020-06-16,143
2020-06-17,193
2020-06-18,194
2020-06-19,312
2020-06-20,182
2020-06-21,30
2020-06-22,109
2020-06-23,95
2020-06-24,153
2020-06-25,154
2020-06-26,92
2020-06-27,176
2020-06-28,188
2020-06-29,104
2020-06-30,93
2020-07-01,154
2020-07-02,216
2020-07-03,147
2020-07-04,176
2020-07-05,168
2020-07-06,134
2020-07-07,135
2020-07-08,198
2020-07-09,173
2020-07-10,176
2020-07-11,174
2020-07-12,188
2020-07-13,130
2020-07-14,104
2020-07-15,175
2020-07-16,156
2020-07-17,167
2020-07-18,186
2020-07-19,124
2020-07-20,95
2020-07-21,85
2020-07-22,153
2020-07-23,165
2020-07-24,147
2020-07-25,154
2020-07-26,146
2020-07-27,77
2020-07-28,85
2020-07-29,150
2020-07-30,169
2020-07-31,129
2020-08-01,161
2020-08-02,95
2020-08-03,70
2020-08-04,79
2020-08-05,144
2020-08-06,181
2020-08-07,74
2020-08-08,119
2020-08-09,129
2020-08-10,77
2020-08-11,130
2020-08-12,70
2020-08-13,129
2020-08-14,124
2020-08-15,114
2020-08-16,119
2020-08-17,68
2020-08-18,55
2020-08-19,132
2020-08-20,117
2020-08-21,110
2020-08-22,90
2020-08-23,121
2020-08-24,73
2020-08-25,65
2020-08-26,120
2020-08-27,115
2020-08-28,121
2020-08-29,110
2020-08-30,111
2020-08-31,68
2020-09-01,83
2020-09-02,123
2020-09-03,115
2020-09-04,114
2020-09-05,121
2020-09-06,110
2020-09-07,61
2020-09-08,51
2020-09-09,122
2020-09-10,160
2020-09-11,110
2020-09-12,102
2020-09-13,119
2020-09-14,94
2020-09-15,57
2020-09-16,150
