"date","owid_new_deaths"
2020-03-25,1
2020-03-26,1
2020-03-27,1
2020-03-29,1
2020-03-30,4
2020-04-01,2
2020-04-02,6
2020-04-03,5
2020-04-05,8
2020-04-06,5
2020-04-07,4
2020-04-08,3
2020-04-10,3
2020-04-11,3
2020-04-12,5
2020-04-13,7
2020-04-14,6
2020-04-15,8
2020-04-16,6
2020-04-17,4
2020-04-18,4
2020-04-19,5
2020-04-20,5
2020-04-21,6
2020-04-22,6
2020-04-23,5
2020-04-24,7
2020-04-25,6
2020-04-26,9
2020-04-27,3
2020-04-28,5
2020-04-29,8
2020-04-30,5
2020-05-01,5
2020-05-02,7
2020-05-03,7
2020-05-04,8
2020-05-05,7
2020-05-06,9
2020-05-07,9
2020-05-08,10
2020-05-09,10
2020-05-10,10
2020-05-11,7
2020-05-12,9
2020-05-13,9
2020-05-14,9
2020-05-15,10
2020-05-16,9
2020-05-17,10
2020-05-18,10
2020-05-19,8
2020-05-20,9
2020-05-21,10
2020-05-22,12
2020-05-23,13
2020-05-24,15
2020-05-25,11
2020-05-26,9
2020-05-27,12
2020-05-28,14
2020-05-29,16
2020-05-30,17
2020-05-31,22
2020-06-01,23
2020-06-02,22
2020-06-03,24
2020-06-04,30
2020-06-05,32
2020-06-06,31
2020-06-07,34
2020-06-08,36
2020-06-09,34
2020-06-10,37
2020-06-11,36
2020-06-12,38
2020-06-13,36
2020-06-14,39
2020-06-15,40
2020-06-16,39
2020-06-17,41
2020-06-18,39
2020-06-19,48
2020-06-20,45
2020-06-21,46
2020-06-22,37
2020-06-23,40
2020-06-24,39
2020-06-25,41
2020-06-26,41
2020-06-27,46
2020-06-28,37
2020-06-29,40
2020-06-30,48
2020-07-01,50
2020-07-02,49
2020-07-03,54
2020-07-04,50
2020-07-05,56
2020-07-06,58
2020-07-07,52
2020-07-08,49
2020-07-09,42
2020-07-10,41
2020-07-11,51
2020-07-12,30
2020-07-13,42
2020-07-14,20
2020-07-15,40
2020-07-16,42
2020-07-17,45
2020-07-18,37
2020-07-19,40
2020-07-20,39
2020-07-21,37
2020-07-22,34
2020-07-23,44
2020-07-24,34
2020-07-25,37
2020-07-26,31
2020-07-27,30
2020-07-28,27
2020-07-29,29
2020-07-30,27
2020-07-31,50
2020-08-02,1
2020-08-03,50
2020-08-04,32
2020-08-05,35
2020-08-06,36
2020-08-07,35
2020-08-08,38
2020-08-09,37
2020-08-10,37
2020-08-11,32
2020-08-12,34
2020-08-13,36
2020-08-14,34
2020-08-15,35
2020-08-16,31
2020-08-17,39
2020-08-18,28
2020-08-19,34
2020-08-20,36
2020-08-21,42
2020-08-22,32
2020-08-23,39
2020-08-24,30
2020-08-25,42
2020-08-26,31
2020-08-27,33
2020-08-28,30
2020-08-29,28
2020-08-30,27
2020-08-31,30
2020-09-01,27
2020-09-02,32
2020-09-03,27
2020-09-04,26
2020-09-05,33
2020-09-06,34
2020-09-07,32
2020-09-08,26
2020-09-09,30
2020-09-10,28
2020-09-11,24
2020-09-12,24
2020-09-13,27
2020-09-14,28
2020-09-15,37
2020-09-16,33
2020-09-17,31
