"date","owid_new_deaths"
2020-03-06,1
2020-03-09,1
2020-03-11,1
2020-03-12,1
2020-03-14,3
2020-03-15,4
2020-03-16,2
2020-03-17,1
2020-03-18,5
2020-03-19,6
2020-03-20,8
2020-03-21,10
2020-03-23,4
2020-03-24,6
2020-04-02,5
2020-04-21,7
2020-04-27,8
2020-05-02,12
2020-05-04,6
2020-05-05,4
2020-05-06,6
2020-05-09,8
2020-05-10,6
2020-05-11,6
2020-05-12,5
2020-05-14,3
2020-05-16,6
2020-05-17,7
2020-05-18,1
2020-05-20,11
2020-05-22,8
2020-05-24,4
2020-05-27,6
2020-05-29,7
2020-05-30,2
2020-06-04,3
2020-06-07,1
2020-06-10,2
2020-06-11,12
2020-06-13,2
2020-06-17,1
2020-06-22,2
2020-06-25,2
2020-07-01,2
2020-07-02,1
2020-07-03,1
2020-07-15,2
2020-07-22,3
2020-07-23,2
2020-07-24,1
2020-07-25,6
2020-07-27,1
2020-07-29,2
2020-07-31,1
2020-08-02,2
2020-08-07,3
2020-08-08,3
2020-08-12,1
2020-08-13,1
2020-08-14,1
2020-08-17,1
2020-08-19,1
2020-08-20,2
2020-08-23,1
2020-08-25,1
2020-08-26,2
2020-08-28,1
2020-08-29,1
2020-09-01,1
2020-09-02,1
2020-09-04,4
2020-09-05,1
2020-09-07,1
2020-09-08,2
2020-09-11,2
2020-09-12,3
2020-09-13,3
2020-09-14,4
2020-09-16,1
2020-09-17,7
2020-09-18,8
2020-09-19,2
2020-09-22,5
