"date","owid_new_deaths"
2020-03-07,1
2020-03-08,1
2020-03-10,1
2020-03-11,4
2020-03-13,2
2020-03-14,1
2020-03-15,19
2020-03-16,14
2020-03-17,22
2020-03-18,17
2020-03-19,34
2020-03-20,46
2020-03-21,32
2020-03-22,58
2020-03-23,36
2020-03-24,76
2020-03-25,148
2020-03-26,191
2020-03-27,181
2020-03-28,288
2020-03-29,292
2020-03-30,212
2020-03-31,374
2020-04-27,364
2020-04-28,320
2020-05-04,253
2020-05-05,272
2020-05-10,275
2020-05-11,217
2020-05-12,187
2020-05-15,352
2020-05-16,350
2020-05-18,67
2020-05-19,146
2020-05-21,328
2020-05-22,273
2020-05-23,291
2020-05-24,220
2020-05-26,104
2020-05-27,131
2020-05-29,343
2020-05-30,274
2020-05-31,154
2020-06-01,60
2020-06-02,86
2020-06-03,249
2020-06-04,254
2020-06-05,130
2020-06-06,258
2020-06-07,143
2020-06-08,54
2020-06-09,47
2020-06-10,195
2020-06-11,164
2020-06-12,76
2020-06-13,131
2020-06-14,107
2020-06-15,27
2020-06-16,29
2020-06-17,120
2020-06-18,110
2020-06-19,67
2020-06-20,84
2020-06-21,71
2020-06-22,31
2020-06-23,14
2020-06-24,94
2020-06-25,87
2020-06-26,99
2020-06-27,77
2020-06-28,40
2020-06-29,31
2020-06-30,21
2020-07-01,53
2020-07-02,97
2020-07-03,41
2020-07-04,49
2020-07-05,32
2020-07-06,19
2020-07-07,11
2020-07-08,54
2020-07-09,57
2020-07-10,31
2020-07-11,34
2020-07-12,17
2020-07-13,9
2020-07-14,10
2020-07-15,44
2020-07-16,26
2020-07-17,24
2020-07-18,26
2020-07-19,9
2020-07-20,11
2020-07-21,10
2020-07-22,25
2020-07-23,17
2020-07-24,9
2020-07-25,32
2020-07-26,15
2020-07-27,8
2020-07-28,3
2020-07-29,21
2020-07-30,34
2020-08-01,20
2020-08-02,13
2020-08-03,5
2020-08-04,1
2020-08-05,18
2020-08-06,14
2020-08-07,18
2020-08-08,12
2020-08-09,3
2020-08-10,5
2020-08-11,18
2020-08-12,13
2020-08-13,20
2020-08-14,18
2020-08-15,11
2020-08-16,3
2020-08-17,5
2020-08-18,3
2020-08-19,12
2020-08-20,16
2020-08-21,6
2020-08-22,2
2020-08-23,18
2020-08-24,6
2020-08-25,4
2020-08-26,16
2020-08-27,16
2020-08-28,12
2020-08-29,9
2020-08-30,12
2020-08-31,1
2020-09-01,2
2020-09-02,3
2020-09-03,10
2020-09-04,13
2020-09-05,10
2020-09-06,12
2020-09-07,2
2020-09-08,3
2020-09-09,32
2020-09-10,8
2020-09-11,14
2020-09-12,6
2020-09-13,9
2020-09-14,5
2020-09-15,9
2020-09-16,27
2020-09-17,20
2020-09-18,21
2020-09-19,27
2020-09-20,27
2020-09-21,18
