"date","owid_new_deaths"
2020-03-01,1
2020-03-02,1
2020-03-03,4
2020-03-04,3
2020-03-05,2
2020-03-06,1
2020-03-07,2
2020-03-08,3
2020-03-09,4
2020-03-10,5
2020-03-11,2
2020-03-12,2
2020-03-13,10
2020-03-14,7
2020-03-15,10
2020-03-16,12
2020-03-17,16
2020-03-18,23
2020-03-19,42
2020-03-21,110
2020-03-22,80
2020-03-23,131
2020-03-24,119
2020-03-25,211
2020-03-26,249
2020-03-27,246
2020-03-28,411
2020-03-29,484
2020-03-30,318
2020-03-31,661
2020-04-01,909
2020-04-02,1059
2020-04-03,915
2020-04-04,1104
2020-04-05,1344
2020-04-06,1146
2020-04-07,1342
2020-04-08,1906
2020-04-09,1922
2020-04-10,1873
2020-04-11,2087
2020-04-12,1831
2020-04-13,1500
2020-04-14,1541
2020-04-15,2408
2020-04-17,2299
2020-04-19,1856
2020-04-20,1772
2020-04-21,1857
2020-04-22,2524
2020-04-23,1721
2020-04-25,1054
2020-04-26,2172
2020-04-27,1687
2020-04-28,1369
2020-04-29,2110
2020-04-30,2611
2020-05-01,2040
2020-05-02,2062
2020-05-03,1317
2020-05-04,1297
2020-05-05,1252
2020-05-06,2144
2020-05-07,2353
2020-05-08,2239
2020-05-09,1510
2020-05-10,1614
2020-05-11,734
2020-05-12,1156
2020-05-13,1703
2020-05-14,1746
2020-05-15,1773
2020-05-16,1662
2020-05-17,1186
2020-05-18,808
2020-05-19,791
2020-05-20,1568
2020-05-21,1518
2020-05-22,1263
2020-05-23,1305
2020-05-24,1080
2020-05-25,633
2020-05-26,500
2020-05-27,696
2020-05-28,1526
2020-05-29,1175
2020-05-30,1219
2020-05-31,945
2020-06-01,602
2020-06-02,764
2020-06-03,1034
2020-06-04,994
2020-06-05,1036
2020-06-06,932
2020-06-07,659
2020-06-08,712
2020-06-09,493
2020-06-10,999
2020-06-11,918
2020-06-12,896
2020-06-13,849
2020-06-14,767
2020-06-15,296
2020-06-16,395
2020-06-17,836
2020-06-18,754
2020-06-19,717
2020-06-20,678
2020-06-21,607
2020-06-22,256
2020-06-23,427
2020-06-24,826
2020-06-25,751
2020-06-26,2437
2020-06-27,623
2020-06-28,500
2020-06-29,265
2020-06-30,336
2020-07-01,1270
2020-07-02,652
2020-07-03,678
2020-07-04,694
2020-07-05,242
2020-07-06,271
2020-07-07,359
2020-07-08,1174
2020-07-09,829
2020-07-10,982
2020-07-11,806
2020-07-12,717
2020-07-13,391
2020-07-14,400
2020-07-15,861
2020-07-16,953
2020-07-17,939
2020-07-18,908
2020-07-19,853
2020-07-20,415
2020-07-21,372
2020-07-22,1160
2020-07-23,1124
2020-07-24,1052
2020-07-25,1304
2020-07-26,914
2020-07-27,475
2020-07-28,1076
2020-07-29,1245
2020-07-30,1457
2020-07-31,1357
2020-08-01,1244
2020-08-02,1133
2020-08-03,413
2020-08-04,543
2020-08-05,1403
2020-08-06,1450
2020-08-07,1848
2020-08-08,1252
2020-08-09,1069
2020-08-10,513
2020-08-11,523
2020-08-12,1076
2020-08-13,1490
2020-08-14,1083
2020-08-15,1336
2020-08-16,1035
2020-08-17,571
2020-08-18,445
2020-08-19,1324
2020-08-20,1356
2020-08-21,1078
2020-08-22,1151
2020-08-23,956
2020-08-24,444
2020-08-25,473
2020-08-26,1207
2020-08-27,1228
2020-08-28,1110
2020-08-29,949
2020-08-30,1006
2020-08-31,290
2020-09-01,529
2020-09-02,1091
2020-09-03,1055
2020-09-04,1053
2020-09-05,968
2020-09-06,773
2020-09-07,403
2020-09-08,267
2020-09-09,471
2020-09-10,1136
2020-09-11,974
2020-09-12,1227
